Date,Day,Alice,Bob,Charlie,Diana
2025-07-24,Thursday,,,,
2025-07-25,Friday,,,,
2025-07-26,Saturday,,,,
2025-07-27,Sunday,,,,
2025-07-28,Monday,,,,
2025-07-29,Tuesday,,,,
2025-07-30,Wednesday,,,,
2025-07-31,Thursday,,,,
2025-08-01,Friday,,,,
2025-08-02,Saturday,,,,
2025-08-03,Sunday,,,,
2025-08-04,Monday,,,,
2025-08-05,Tuesday,,,,
2025-08-06,Wednesday,,,,
2025-08-07,Thursday,,,,
2025-08-08,Friday,,,,
2025-08-09,Saturday,,,,
2025-08-10,Sunday,,,,
2025-08-11,Monday,,,,
2025-08-12,Tuesday,,,,
2025-08-13,Wednesday,,,,
2025-08-14,Thursday,,,,
2025-08-15,Friday,,,,
2025-08-16,Saturday,,,,
2025-08-17,Sunday,,,,
2025-08-18,Monday,,,,
2025-08-19,Tuesday,,,,
2025-08-20,Wednesday,,,,
2025-08-21,Thursday,,,,
2025-08-22,Friday,,,,
2025-08-23,Saturday,,,,
2025-08-24,Sunday,,,,
2025-08-25,Monday,,,,
2025-08-26,Tuesday,,,,
2025-08-27,Wednesday,,,,
2025-08-28,Thursday,,,,
2025-08-29,Friday,,,,
2025-08-30,Saturday,,,,
2025-08-31,Sunday,,,,
2025-09-01,Monday,,,,
2025-09-02,Tuesday,,,,
2025-09-03,Wednesday,,,,
2025-09-04,Thursday,,,,
2025-09-05,Friday,,,,
2025-09-06,Saturday,,,,
2025-09-07,Sunday,,,,
2025-09-08,Monday,,,,
2025-09-09,Tuesday,,,,
2025-09-10,Wednesday,,,,
2025-09-11,Thursday,,,,
2025-09-12,Friday,,,,
2025-09-13,Saturday,,,,
2025-09-14,Sunday,,,,
2025-09-15,Monday,,,,
2025-09-16,Tuesday,,,,
2025-09-17,Wednesday,,,,
2025-09-18,Thursday,,,,
2025-09-19,Friday,,,,
2025-09-20,Saturday,,,,
2025-09-21,Sunday,,,,
2025-09-22,Monday,,,,
2025-09-23,Tuesday,,,,
2025-09-24,Wednesday,,,,
2025-09-25,Thursday,,,,
2025-09-26,Friday,,,,
2025-09-27,Saturday,,,,
2025-09-28,Sunday,,,,
2025-09-29,Monday,,,,
2025-09-30,Tuesday,,,,
2025-10-01,Wednesday,,,,
2025-10-02,Thursday,,,,
2025-10-03,Friday,,,,
2025-10-04,Saturday,,,,
2025-10-05,Sunday,,,,
2025-10-06,Monday,,,,
2025-10-07,Tuesday,,,,
2025-10-08,Wednesday,,,,
2025-10-09,Thursday,,,,
2025-10-10,Friday,,,,
2025-10-11,Saturday,,,,
2025-10-12,Sunday,,,,
2025-10-13,Monday,,,,
2025-10-14,Tuesday,,,,
2025-10-15,Wednesday,,,,
2025-10-16,Thursday,,,,
2025-10-17,Friday,,,,
2025-10-18,Saturday,,,,
2025-10-19,Sunday,,,,
2025-10-20,Monday,,,,
2025-10-21,Tuesday,,,,
2025-10-22,Wednesday,,,,
2025-10-23,Thursday,,,,
2025-10-24,Friday,,,,
2025-10-25,Saturday,,,,
2025-10-26,Sunday,,,,
2025-10-27,Monday,,,,
2025-10-28,Tuesday,,,,
2025-10-29,Wednesday,,,,
2025-10-30,Thursday,,,,
2025-10-31,Friday,,,,
2025-11-01,Saturday,,,,
2025-11-02,Sunday,,,,
2025-11-03,Monday,,,,
2025-11-04,Tuesday,,,,
2025-11-05,Wednesday,,,,
2025-11-06,Thursday,,,,
2025-11-07,Friday,,,,
2025-11-08,Saturday,,,,
2025-11-09,Sunday,,,,
2025-11-10,Monday,,,,
2025-11-11,Tuesday,,,,
2025-11-12,Wednesday,,,,
2025-11-13,Thursday,,,,
2025-11-14,Friday,,,,
2025-11-15,Saturday,,,,
2025-11-16,Sunday,,,,
2025-11-17,Monday,,,,
2025-11-18,Tuesday,,,,
2025-11-19,Wednesday,,,,
2025-11-20,Thursday,,,,
2025-11-21,Friday,,,,
2025-11-22,Saturday,,,,
2025-11-23,Sunday,,,,
2025-11-24,Monday,,,,
2025-11-25,Tuesday,,,,
2025-11-26,Wednesday,,,,
2025-11-27,Thursday,,,,
2025-11-28,Friday,,,,
2025-11-29,Saturday,,,,
2025-11-30,Sunday,,,,
2025-12-01,Monday,,,,
2025-12-02,Tuesday,,,,
2025-12-03,Wednesday,,,,
2025-12-04,Thursday,,,,
2025-12-05,Friday,,,,
2025-12-06,Saturday,,,,
2025-12-07,Sunday,,,,
2025-12-08,Monday,,,,
2025-12-09,Tuesday,,,,
2025-12-10,Wednesday,,,,
2025-12-11,Thursday,,,,
2025-12-12,Friday,,,,
2025-12-13,Saturday,,,,
2025-12-14,Sunday,,,,
2025-12-15,Monday,,,,
2025-12-16,Tuesday,,,,
2025-12-17,Wednesday,,,,
2025-12-18,Thursday,,,,
2025-12-19,Friday,,,,
2025-12-20,Saturday,,,,
2025-12-21,Sunday,,,,
2025-12-22,Monday,,,,
2025-12-23,Tuesday,,,,
2025-12-24,Wednesday,,,,
2025-12-25,Thursday,,,,
2025-12-26,Friday,,,,
2025-12-27,Saturday,,,,
2025-12-28,Sunday,,,,
2025-12-29,Monday,,,,
2025-12-30,Tuesday,,,,
2025-12-31,Wednesday,,,,
